bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Acacia maitlandii,3822,Wright Boyd Clarke Peter 2007,surv4,Tuber,NA,NA,NA,"Resprouting buds, buds on a single robust taproot in a collar ~4-5 cm below the soil surface (Results, Resprouting buds)",NA
Acacia maitlandii,3822,Wright Boyd Clarke Peter 2007,surv4,Epicormic,NA,NA,NA,"Resprouting buds, 60% above-ground stem resprouting, low-severity long-interval treatment (Table 2)",NA
Acacia aneura,3705,Wright Boyd Clarke Peter 2007,surv4,Long rhizome or root sucker,NA,NA,NA,"Resprouting buds, buds on laterally branching roots (Results, Resprouting buds)",NA
Acacia aneura,3705,Wright Boyd Clarke Peter 2007,surv4,Basal,NA,NA,NA,"Resprouting buds, buds around the central trunk (Results, Resprouting buds)",NA
