"Growth Form","Species Name","Dormancy","Fire Response","Seedlings Present Post-Fire","Relative Frequency","Abundance","Distribution","Fire Fq Response Type"
"Sub-shrub","Hibbertia obtusifolia","Yes?","6","N","Frequent","Dense",NA,NA
"Sub-shrub","Hovea lanceolata","Yes?","2#","Y2","Frequent","Dense",NA,NA
"Sub-shrub","Indigofera sp.","Yes?","2","Y1","-","-",NA,NA
"Sub-shrub","Leucopogon biflorus","Yes?","2","N","Frequent","Sparse",NA,NA
"Sub-shrub","Leucopogon melaleucoides","Yes?","6","N","Frequent","Sparse",NA,NA
"Sub-shrub","Leucopogon neoanglicus","Yes?","2#","Y1","Frequent","Dense",NA,NA
"Sub-shrub","Lomatia silaifolia","Yes?","6","N","Frequent","Dense",NA,NA
"Sub-shrub","Melichrus erubescens","Yes?","6","N","Infrequent","Dense",NA,NA
"Sub-shrub","Mirbelia pungens","Yes?","6","N","Infrequent","Sparse",NA,NA
"Sub-shrub","Mirbelia speciosa","Yes?","2#, 6?","Y2","Frequent","Sparse",NA,NA
"Sub-shrub","Persoonia tenuifolia","Yes?","6","N","Infrequent","Sparse",NA,NA
"Sub-shrub","Petrophile canescens","No","6","Y1","Frequent","Dense",NA,NA
"Sub-shrub","Zieria laevigata","?","2#, 6?","Y1","Frequent","Sparse",NA,NA
"Herb","Actinotus helianthi","Yes?","2#","Y1","Frequent","Sparse",NA,NA
"Herb","Gonocarpus tetragynus","Yes?","2","Y3","Frequent","Dense",NA,NA
"Herb","Monotaxis macrophylla","Yes","2#","Y3","-","-",NA,NA
"Herb","Stylidium laricifolium","Yes","2#","Y2","Frequent","Dense",NA,NA
