bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Pultenaea daphnoides,2985,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Pultenaea scabra,3016,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pultenaea scabra,3016,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Pimelea humilis,6179,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pimelea humilis,6179,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Pimelea linifolia,6182,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pimelea linifolia,6182,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Leptospermum continentale,7970,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Leptospermum continentale,7970,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Solanum laciniatum,6087,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Solanum laciniatum,6087,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Spyridium parvifolium,5600,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Spyridium parvifolium,5600,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Acaena novae-zelandiae,5604,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acaena novae-zelandiae,5604,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Asperula scoparia,5659,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Asperula scoparia,5659,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Aster subulatus,1280,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Aster subulatus,1280,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Cirsium vulgare,1400,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Cirsium vulgare,1400,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Dichondra repens,2222,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Dichondra repens,2222,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Geranium solanderi,3156,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Geranium solanderi,3156,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Euchiton involucratus,9904,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Euchiton involucratus,9904,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Euchiton sphaericus,9690,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Euchiton sphaericus,9690,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Gonocarpus tetragynus,3247,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Gonocarpus tetragynus,3247,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Galium binifolium,5681,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Galium binifolium,5681,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Hydrocotyle callicarpa,1124,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Hydrocotyle callicarpa,1124,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Hydrocotyle hirta,8461,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Hydrocotyle hirta,8461,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Hydrocotyle laxiflora,1128,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Hydrocotyle laxiflora,1128,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Hypericum gramineum,7240,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
