record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
NA,4891,Deyeuxia quadriseta,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Morgan Lunt 1999""}",NA,1,NA,NA,exact
166659,4899,Dichelachne rara,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,4899,Dichelachne rara,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
174471,5005,Holcus lanatus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
183913,5217,Tetrarrhena juncea,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,5217,Tetrarrhena juncea,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,1,NA,NA,exact
182209,5142,Poa tenera,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
157869,2583,Acrotriche serrulata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,2583,Acrotriche serrulata,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,2,NA,NA,exact
159705,2584,Astroloma humifusum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,2584,Astroloma humifusum,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,2,NA,NA,exact
162578,4674,Bursaria spinosa,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,4674,Bursaria spinosa,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,2,NA,NA,exact
165393,5675,Coprosma quadrifida,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
174287,2545,Hibbertia riparia,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
178081,5443,Lomatia ilicifolia,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,5443,Lomatia ilicifolia,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""EcoGIS 2002"",""Blombery Maloney 1992""}",NA,1,NA,NA,exact
178574,4263,Melaleuca squarrosa,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
180267,1580,Olearia argophylla,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,1580,Olearia argophylla,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,3,NA,NA,exact
162450,1863,Brunonia australis,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,1863,Brunonia australis,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
173993,1494,Helichrysum leucopsideum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,1494,Helichrysum leucopsideum,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,1,NA,NA,exact
176863,1557,Leptorhynchos squamatus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,1557,Leptorhynchos squamatus,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Morgan 1996"",""Wark 1997"",""Morgan Lunt 1999""}",NA,1,NA,NA,exact
180595,4613,Oxalis corniculata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
180971,3157,Pelargonium australe,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,3157,Pelargonium australe,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
182079,4705,Plantago varia,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,4705,Plantago varia,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
183561,1690,Sonchus oleraceus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
184278,6003,Veronica calycina,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,6003,Veronica calycina,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,1,NA,NA,exact
171203,2441,Gahnia radula,surv1,NSWFFRDv2.1,"{""Wark 1997""}",Most,NA,NA,NA,partial
NA,2441,Gahnia radula,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,2,NA,NA,exact
171221,2442,Gahnia sieberiana,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,2442,Gahnia sieberiana,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,2,NA,NA,exact
174976,2453,Isolepis hystrix,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
174992,2455,Isolepis marginata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",Most,NA,NA,NA,partial
NA,2455,Isolepis marginata,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
175160,3339,Juncus pauciflorus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,3339,Juncus pauciflorus,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,2,NA,NA,exact
175168,3340,Juncus planifolius,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
176626,8379,Lepidosperma elatius,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,8379,Lepidosperma elatius,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,2,NA,NA,exact
178165,3359,Luzula meridionalis,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,3359,Luzula meridionalis,repr3a,NSWFFRDv2.1,"{""Wark 1997""}",NA,1,NA,NA,exact
183203,2491,Schoenus apogon,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
157743,4351,Acianthus caudatus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4351,Acianthus caudatus,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
157769,9088,Acianthus pusillus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
162697,6703,Caladenia catenata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
166992,7887,Dipodium punctatum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
168899,4460,Eriochilus cucullatus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4460,Eriochilus cucullatus,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
182444,4516,Prasophyllum odoratum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4516,Prasophyllum odoratum,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
182645,4559,Pterostylis longifolia,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4559,Pterostylis longifolia,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
182666,4562,Pterostylis nutans,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4562,Pterostylis nutans,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
182661,4561,Pterostylis nana,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
182675,4566,Pterostylis parviflora,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4566,Pterostylis parviflora,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
183987,4595,Thelymitra flexuosa,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
184010,4602,Thelymitra pauciflora,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,4602,Thelymitra pauciflora,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
184017,10277,Thelymitra rubra,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
162539,3533,Burchardia umbellata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
166579,3542,Dianella revoluta,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
177855,6302,Lomandra filiformis,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,6302,Lomandra filiformis,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Bewick 1994"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
184054,3572,Thysanotus juncifolius,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
184070,3573,Thysanotus patersonii,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,3573,Thysanotus patersonii,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
177717,1917,Lobelia gibbosa,surv1,NSWFFRDv2.1,"{""Wark 1997""}",Most,NA,NA,NA,partial
175344,11388,Lachnagrostis filiformis,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,11388,Lachnagrostis filiformis,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
183036,14310,Rytidosperma indutum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,14310,Rytidosperma indutum,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
183057,14316,Rytidosperma pilosum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,14316,Rytidosperma pilosum,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
183036,14310,Rytidosperma indutum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,14310,Rytidosperma indutum,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
183074,14322,Rytidosperma setaceum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,14322,Rytidosperma setaceum,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Morgan 1996"",""Wark 1997"",""Morgan Lunt 1999""}",NA,1,NA,NA,exact
183049,14314,Rytidosperma pallidum,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
183068,14321,Rytidosperma semiannulare,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,14321,Rytidosperma semiannulare,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
163165,1355,Carduus tenuiflorus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
165436,13836,Coronidium scorpioides,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
175354,11959,Lagenophora gracilis,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,11959,Lagenophora gracilis,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""EcoGIS 2002""}",NA,1,NA,NA,exact
176863,1557,Leptorhynchos squamatus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
NA,1557,Leptorhynchos squamatus,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Morgan 1996"",""Wark 1997"",""Morgan Lunt 1999""}",NA,1,NA,NA,exact
174982,2454,Isolepis inundata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,2454,Isolepis inundata,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
162631,3535,Caesia parviflora,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,3535,Caesia parviflora,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
177958,6308,Lomandra longifolia,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,6308,Lomandra longifolia,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
168214,2559,Drosera peltata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
168214,2559,Drosera peltata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
174806,8788,Hypochaeris radicata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
169046,8450,Eucalyptus bicostata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,partial
157665,11245,Acacia verticillata subsp. verticillata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
177999,9082,Lomandra micrantha subsp. tuberculata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,9082,Lomandra micrantha subsp. tuberculata,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",NA,1,NA,NA,exact
178017,8802,Lomandra multiflora subsp. multiflora,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
NA,8802,Lomandra multiflora subsp. multiflora,repr3a,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""EcoGIS 2002"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
183990,8968,Thelymitra ixioides var. ixioides,surv1,NSWFFRDv2.1,"{""Wark 1997""}",All,NA,NA,NA,exact
2856,3824,Acacia melanoxylon,surv4,NSWFFRDv2.1,"{""Wark 1997""}",Lignotuber,NA,NA,NA,partial
2857,3824,Acacia melanoxylon,surv4,NSWFFRDv2.1,"{""Wark 1997""}",Long rhizome or root sucker,NA,NA,NA,exact
2856,3824,Acacia melanoxylon,surv4,NSWFFRDv2.1,"{""Wark 1997""}",Lignotuber,NA,NA,NA,exact
2857,3824,Acacia melanoxylon,surv4,NSWFFRDv2.1,"{""Wark 1997""}",Long rhizome or root sucker,NA,NA,NA,partial
2902,7997,Adiantum aethiopicum,surv4,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Wark 1997""}",Short rhizome,NA,NA,NA,exact
4179,8151,Todea barbara,surv4,NSWFFRDv2.1,"{""Wark 1997""}",Short rhizome,NA,NA,NA,exact
2901,2583,Acrotriche serrulata,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Lignotuber,NA,NA,NA,exact
3069,4674,Bursaria spinosa,surv4,NSWFFRDv2.1,"{""Wark 1997""}",Lignotuber,NA,NA,NA,exact
3920,3157,Pelargonium australe,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Short rhizome,NA,NA,NA,exact
3975,4705,Plantago varia,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Short rhizome,NA,NA,NA,exact
