"bionet_name","species_code","suggested_name","taxon_rank","dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,8185,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",8185,"6801","Elymus scabrus var. scabrus","<em>Elymus scabrus </em>var.<em> scabrus</em>",NA,NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,9762,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",9762,"8798","Elymus scaber var. scaber","<em>Elymus scaber </em>var.<em> scaber</em>","Common Wheatgrass",NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,18790,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",18790,"13409","Agropyron scabrum var. scabrum","<em>Agropyron scabrum </em>var.<em> scabrum</em>",NA,NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,22952,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",22952,"14896","Anthosachne scabra","<em>Anthosachne scabra</em>","Wheatgrass, Common Wheatgrass",NA,22952,"Wheatgrass, Common Wheatgrass",TRUE,NA,NA,"Alive in NSW, Native","Tussock Grass","Grass & grasslike (GG)","Other Grass","Grass & grasslike (GG)","Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Dianella revoluta var. vinosa","7784","Dianella revoluta var. vinosa","variety","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-12-14 08:36:59.063,1995-12-15 02:06:43,2365,"Variety",139,"Plantae",38,"Flora",137,"Flora",410,"Asphodelaceae",6685,2690,"Dianella",11070,"revoluta","vinosa","R.J.F.Hend.",2365,"7784","Dianella revoluta var. vinosa","<em>Dianella revoluta </em>var.<em> vinosa</em>",NA,NA,2365,NA,TRUE,NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Cardamine paucijuga","7746","Cardamine paucijuga [alternative possible names: Cardamine moirensis (pro parte misapplied) | Cardamine microthrix (pro parte misapplied) | Cardamine papillata (pro parte misapplied) | Cardamine lineariloba (pro parte misapplied)]","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:43:06.103,1995-12-15 02:06:43,2366,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8097,2382,"Cardamine",2366,"paucijuga",NA,"Turcz.",2366,"7746","Cardamine paucijuga","<em>Cardamine paucijuga</em>",NA,NA,2366,NA,TRUE,NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Cardamine paucijuga","7746","Cardamine paucijuga [alternative possible names: Cardamine moirensis (pro parte misapplied) | Cardamine microthrix (pro parte misapplied) | Cardamine papillata (pro parte misapplied) | Cardamine lineariloba (pro parte misapplied)]","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:43:06.103,1995-12-15 02:06:43,11948,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8097,2382,"Cardamine",2366,"paucijuga",NA,"Turcz.",11948,"8204","Cardamine paucijuga","<em>Cardamine paucijuga</em>",NA,NA,2366,NA,FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Salvia plebeia","3444","Salvia plebeia","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:32:32.31,1995-12-15 02:06:43,2367,"Species",139,"Plantae",38,"Flora",137,"Flora",161,"Lamiaceae",12253,4003,"Salvia",2367,"plebeia",NA,"R.Br.",2367,"3444","Salvia plebeia","<em>Salvia plebeia</em>","Austral Sage",NA,2367,"Austral Sage",TRUE,NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Sarcopetalum harveyanum","3688","Sarcopetalum harveyanum","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:33:14.34,1995-12-15 02:06:44,2368,"Species",139,"Plantae",38,"Flora",137,"Flora",162,"Menispermaceae",12967,4017,"Sarcopetalum",2368,"harveyanum",NA,"F.Muell.",2368,"3688","Sarcopetalum harveyanum","<em>Sarcopetalum harveyanum</em>","Pearl Vine",NA,2368,"Pearl Vine",TRUE,NA,NA,"Alive in NSW, Native","Vine","Other (OG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Agiortia pedicellata","12011","Agiortia pedicellata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:22:50.983,2007-04-17 07:56:11,2369,"Species",139,"Plantae",38,"Flora",137,"Flora",302,"Ericaceae",9840,2006,"Agiortia",17241,"pedicellata",NA,"(C.T.White) Quinn in Quinn et al.",2369,"2633","Leucopogon pedicillatus","<em>Leucopogon pedicillatus</em>",NA,NA,17241,NA,FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
