"bionet_name","species_code","suggested_name","taxon_rank","dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"Spergularia rubra","2001","Spergularia rubra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2007-02-27 08:01:51,1995-12-15 02:30:38,6295,"Species",139,"Plantae",38,"Flora",137,"Flora",217,"Caryophyllaceae",8488,4108,"Spergularia",6295,"rubra",NA,"(L.) J.Presl & C.Presl",6295,"2001","Spergularia rubra","<em>Spergularia rubra</em>","Sandspurry",NA,6295,"Sandspurry",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Gleditsia triacanthos","1901","Gleditsia triacanthos","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:57.593,1995-12-15 02:30:38,6296,"Species",139,"Plantae",38,"Flora",137,"Flora",326,"Fabaceae (Caesalpinioideae)",10228,2976,"Gleditsia",6296,"triacanthos",NA,"L.",6296,"1901","Gleditsia triacanthos","<em>Gleditsia triacanthos</em>","Honey Locust",NA,6296,"Honey Locust",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - not manageable",NA,FALSE,FALSE,FALSE
"Thlaspi arvense","1861","Thlaspi arvense","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:39,6297,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8205,4223,"Thlaspi",6297,"arvense",NA,"L.",6297,"1861","Thlaspi arvense","<em>Thlaspi arvense</em>","Penny Cress",NA,6297,"Penny Cress",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Chamaecytisus palmensis","9737","Chamaecytisus palmensis","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:42.153,1998-02-06 03:12:39,6298,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10342,2450,"Chamaecytisus",12374,"palmensis",NA,"(Christ) F.A.Bisby & K.W.Nicholls",6298,"2814","Cytisus proliferus","<em>Cytisus proliferus</em>",NA,NA,12374,"Tree Lucerne",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - not manageable",NA,FALSE,FALSE,FALSE
"Chamaecytisus palmensis","9737","Chamaecytisus palmensis","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:42.153,1998-02-06 03:12:39,12374,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10342,2450,"Chamaecytisus",12374,"palmensis",NA,"(Christ) F.A.Bisby & K.W.Nicholls",12374,"9737","Chamaecytisus palmensis","<em>Chamaecytisus palmensis</em>","Tree Lucerne",NA,12374,"Tree Lucerne",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - not manageable",NA,FALSE,FALSE,FALSE
"Bupleurum lancifolium","1105","Bupleurum lancifolium","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:39,6299,"Species",139,"Plantae",38,"Flora",137,"Flora",157,"Apiaceae",6211,2316,"Bupleurum",6299,"lancifolium",NA,"Hornem.",6299,"1105","Bupleurum lancifolium","<em>Bupleurum lancifolium</em>",NA,NA,6299,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Trifolium scabrum","3087","Trifolium scabrum","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:40,6300,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10899,4283,"Trifolium",6300,"scabrum",NA,"L.",6300,"3087","Trifolium scabrum","<em>Trifolium scabrum</em>","Rough Clover",NA,6300,"Rough Clover",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Rubus laciniatus","5639","Rubus laciniatus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:33:47,6301,"Species",139,"Plantae",38,"Flora",137,"Flora",269,"Rosaceae",17279,3985,"Rubus",6822,"laciniatus",NA,"Willd.",6301,"7744","Rubus laciniatus subsp. laciniatus","<em>Rubus laciniatus </em>subsp.<em> laciniatus</em>",NA,NA,6822,"Cut-leaf Blackberry",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Rubus laciniatus","5639","Rubus laciniatus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:33:47,6822,"Species",139,"Plantae",38,"Flora",137,"Flora",269,"Rosaceae",17279,3985,"Rubus",6822,"laciniatus",NA,"Willd.",6822,"5639","Rubus laciniatus","<em>Rubus laciniatus</em>","Cut-leaf Blackberry",NA,6822,"Cut-leaf Blackberry",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Digitaria sanguinalis","6937","Digitaria sanguinalis","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2010-05-11 01:28:30,1995-12-15 02:30:40,6302,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15574,2713,"Digitaria",6302,"sanguinalis",NA,"(L.) Scop.",6302,"6937","Digitaria sanguinalis","<em>Digitaria sanguinalis</em>","Crab Grass",NA,6302,"Crab Grass",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Acer negundo","1014","Acer negundo","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:27.13,1995-12-15 02:30:41,6303,"Species",139,"Plantae",38,"Flora",137,"Flora",202,"Sapindaceae",17849,1956,"Acer",6303,"negundo",NA,"L.",6303,"1014","Acer negundo","<em>Acer negundo</em>","Box Elder",NA,6303,"Box Elder",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Datura stramonium","6033","Datura stramonium","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:41,6304,"Species",139,"Plantae",38,"Flora",137,"Flora",173,"Solanaceae",18176,2658,"Datura",6304,"stramonium",NA,"L.",6304,"6033","Datura stramonium","<em>Datura stramonium</em>","Common Thornapple",NA,6304,"Common Thornapple",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Araujia sericifera","11047","Araujia sericifera","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:31.15,2000-11-29 05:29:10,6306,"Species",139,"Plantae",38,"Flora",137,"Flora",220,"Apocynaceae",6337,2126,"Araujia",13795,"sericifera",NA,"Brot.",6306,"9013","Araujia sericiflora","<em>Araujia sericiflora</em>","Moth Plant",NA,13795,"Moth Vine",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Araujia sericifera","11047","Araujia sericifera","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:31.15,2000-11-29 05:29:10,6641,"Species",139,"Plantae",38,"Flora",137,"Flora",220,"Apocynaceae",6337,2126,"Araujia",13795,"sericifera",NA,"Brot.",6641,"1223","Araujia hortorum","<em>Araujia hortorum</em>",NA,NA,13795,"Moth Vine",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Araujia sericifera","11047","Araujia sericifera","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:31.15,2000-11-29 05:29:10,13795,"Species",139,"Plantae",38,"Flora",137,"Flora",220,"Apocynaceae",6337,2126,"Araujia",13795,"sericifera",NA,"Brot.",13795,"11047","Araujia sericifera","<em>Araujia sericifera</em>","Moth Vine",NA,13795,"Moth Vine",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Lampranthus tegens","1032","Lampranthus tegens","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2007-02-27 08:01:43,1995-12-15 02:30:42,6307,"Species",139,"Plantae",38,"Flora",137,"Flora",219,"Aizoaceae",5939,3237,"Lampranthus",6307,"tegens",NA,"(F.Muell.) N.E.Br.",6307,"1032","Lampranthus tegens","<em>Lampranthus tegens</em>",NA,NA,6307,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Cotoneaster microphyllus","5613","Cotoneaster microphyllus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:46.713,1995-12-15 02:30:43,6308,"Species",139,"Plantae",38,"Flora",137,"Flora",398,"Malaceae",12655,2576,"Cotoneaster",6308,"microphyllus",NA,"Wall. ex Lindl.",6308,"5613","Cotoneaster microphyllus","<em>Cotoneaster microphyllus</em>",NA,NA,6308,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Allium oleraceum","7652","Allium oleraceum","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2008-08-04 22:55:58,1995-12-15 02:30:43,6310,"Species",139,"Plantae",38,"Flora",137,"Flora",394,"Alliaceae",5991,2035,"Allium",6310,"oleraceum",NA,"L.",6310,"7652","Allium oleraceum","<em>Allium oleraceum</em>","Field Garlic",NA,6310,"Field Garlic",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Urochloa texana","7776","Urochloa texana","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2007-02-27 08:01:34,1995-12-15 02:30:44,6311,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",16159,4328,"Urochloa",6311,"texana",NA,"(Buckley) R.D.Webster",6311,"7776","Urochloa texana","<em>Urochloa texana</em>","Texas Millet",NA,6311,"Texas Millet",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Urochloa texana","7776","Urochloa texana","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2007-02-27 08:01:34,1995-12-15 02:30:44,10192,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",16159,4328,"Urochloa",6311,"texana",NA,"(Buckley) R.D.Webster",10192,"4797","Brachiaria texana","<em>Brachiaria texana</em>",NA,NA,6311,"Texas Millet",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Lamium amplexicaule","3377","Lamium amplexicaule","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:44,6312,"Species",139,"Plantae",38,"Flora",137,"Flora",161,"Lamiaceae",12098,3236,"Lamium",6312,"amplexicaule",NA,"L.",6312,"3377","Lamium amplexicaule","<em>Lamium amplexicaule</em>","Dead Nettle",NA,6312,"Dead Nettle",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Glycyrrhiza glabra","2863","Glycyrrhiza glabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:45,6314,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10506,2990,"Glycyrrhiza",6314,"glabra",NA,"L.",6314,"2863","Glycyrrhiza glabra","<em>Glycyrrhiza glabra</em>","Liquorice",NA,6314,"Liquorice",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Phalaris aquatica","5106","Phalaris aquatica","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:45,6315,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15937,3712,"Phalaris",6315,"aquatica",NA,"L.",6315,"5106","Phalaris aquatica","<em>Phalaris aquatica</em>","Phalaris",NA,6315,"Phalaris",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Setaria verticillata","5169","Setaria verticillata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:46,6316,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",16074,4075,"Setaria",6316,"verticillata",NA,"(L.) P.Beauv.",6316,"5169","Setaria verticillata","<em>Setaria verticillata</em>","Whorled Pigeon Grass",NA,6316,"Whorled Pigeon Grass",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Setaria viridis","5170","Setaria viridis","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:46,6317,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",16075,4075,"Setaria",6317,"viridis",NA,"(L.) P.Beauv.",6317,"5170","Setaria viridis","<em>Setaria viridis</em>","Green Pigeon Grass",NA,6317,"Green Pigeon Grass",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Cenchrus clandestinus","14903","Cenchrus clandestinus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:39.53,2019-02-04 05:15:05.707,6318,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15449,2419,"Cenchrus",22959,"clandestinus",NA,"(Hochst. ex Chiov.) Morrone",6318,"5096","Pennisetum clandestinum","<em>Pennisetum clandestinum</em>","Kikuyu Grass",NA,22959,"Kikuyu Grass",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - not manageable",NA,FALSE,FALSE,FALSE
"Cenchrus clandestinus","14903","Cenchrus clandestinus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:39.53,2019-02-04 05:15:05.707,22959,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15449,2419,"Cenchrus",22959,"clandestinus",NA,"(Hochst. ex Chiov.) Morrone",22959,"14903","Cenchrus clandestinus","<em>Cenchrus clandestinus</em>","Kikuyu Grass",NA,22959,"Kikuyu Grass",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - not manageable",NA,FALSE,FALSE,FALSE
"Mimulus moschatus","5984","Erythranthe moschata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2020-08-25 09:50:15.577,1995-12-15 02:30:46,6319,"Species",139,"Plantae",38,"Flora",137,"Flora",921,"Phrymaceae",14955,3466,"Mimulus",6319,"moschatus",NA,"Douglas ex Lindl.",6319,"5984","Mimulus moschatus","<em>Mimulus moschatus</em>","Musk Monkey-flower",NA,6319,"Musk Monkey-flower",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Soleirolia soleirolii","6235","Soleirolia soleirolii","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:47,6320,"Species",139,"Plantae",38,"Flora",137,"Flora",200,"Urticaceae",18658,4093,"Soleirolia",6320,"soleirolii",NA,"(Req.) Dandy",6320,"6235","Soleirolia soleirolii","<em>Soleirolia soleirolii</em>","Baby's Tears",NA,6320,"Baby's Tears",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Trifolium arvense","3073","Trifolium arvense","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:48,6321,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10878,4283,"Trifolium",6321,"arvense",NA,"L.",6321,"3073","Trifolium arvense","<em>Trifolium arvense</em>","Haresfoot Clover",NA,6321,"Haresfoot Clover",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Trifolium arvense","3073","Trifolium arvense","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:48,18441,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10878,4283,"Trifolium",6321,"arvense",NA,"L.",18441,"13060","Trifolium arvense var. arvense","<em>Trifolium arvense </em>var.<em> arvense</em>",NA,NA,6321,"Haresfoot Clover",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Trifolium striatum","3088","Trifolium striatum","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:48,6322,"Species",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10903,4283,"Trifolium",6322,"striatum",NA,"L.",6322,"3088","Trifolium striatum","<em>Trifolium striatum</em>","Knotted Clover",NA,6322,"Knotted Clover",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Elodea canadensis","3269","Elodea canadensis","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2007-02-27 08:02:42,1995-12-15 02:30:49,6323,"Species",139,"Plantae",38,"Flora",137,"Flora",263,"Hydrocharitaceae",11748,2806,"Elodea",6323,"canadensis",NA,"Michx.",6323,"3269","Elodea canadensis","<em>Elodea canadensis</em>","Elodea",NA,6323,"Elodea",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Juncus effusus","3327","Juncus effusus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:50,6324,"Species",139,"Plantae",38,"Flora",137,"Flora",253,"Juncaceae",11996,3201,"Juncus",6324,"effusus",NA,"L.",6324,"3327","Juncus effusus","<em>Juncus effusus</em>",NA,NA,6324,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Pyracantha crenatoserrata","12465","Pyracantha crenulata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:23:31.47,2007-04-17 07:56:29,6326,"Species",139,"Plantae",38,"Flora",137,"Flora",398,"Malaceae",12682,3894,"Pyracantha",17695,"crenatoserrata",NA,"(Hance) Rehder",6326,"5629","Pyracantha fortuneana","<em>Pyracantha fortuneana</em>",NA,NA,17695,NA,FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Pyracantha crenatoserrata","12465","Pyracantha crenulata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:23:31.47,2007-04-17 07:56:29,17695,"Species",139,"Plantae",38,"Flora",137,"Flora",398,"Malaceae",12682,3894,"Pyracantha",17695,"crenatoserrata",NA,"(Hance) Rehder",17695,"12465","Pyracantha crenatoserrata","<em>Pyracantha crenatoserrata</em>",NA,NA,17695,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Pyracantha rogersiana","5630","Pyracantha crenulata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:23:32.067,1995-12-15 02:30:51,6327,"Species",139,"Plantae",38,"Flora",137,"Flora",398,"Malaceae",12684,3894,"Pyracantha",6327,"rogersiana",NA,"(A.B.Jacks.) Coltm-Rog.",6327,"5630","Pyracantha rogersiana","<em>Pyracantha rogersiana</em>",NA,NA,6327,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - manageable",NA,FALSE,FALSE,FALSE
"Alstroemeria pulchella","6970","Alstroemeria psittacina","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:52,6328,"Species",139,"Plantae",38,"Flora",137,"Flora",459,"Alstroemeriaceae",6002,2049,"Alstroemeria",6328,"pulchella",NA,"L.f.",6328,"6970","Alstroemeria pulchella","<em>Alstroemeria pulchella</em>","Parrot Alstroemeria",NA,6328,"Parrot Alstroemeria",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Alstroemeria pulchella","6970","Alstroemeria psittacina","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:52,10910,"Species",139,"Plantae",38,"Flora",137,"Flora",459,"Alstroemeriaceae",6002,2049,"Alstroemeria",6328,"pulchella",NA,"L.f.",10910,"3515","Alstroemeria psittacina","<em>Alstroemeria psittacina</em>",NA,NA,6328,"Parrot Alstroemeria",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Aira caryophyllea","4730","Aira caryophyllea","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:53,6331,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15240,2014,"Aira",6331,"caryophyllea",NA,"L.",6331,"4730","Aira caryophyllea","<em>Aira caryophyllea</em>","Silvery Hairgrass",NA,6331,"Silvery Hairgrass",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Digitaria aequiglumis","4900","Digitaria aequiglumis","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2007-02-27 08:01:46,1995-12-15 02:30:54,6332,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15553,2713,"Digitaria",6332,"aequiglumis",NA,"(Hack. & Arechav.) Parodi",6332,"4900","Digitaria aequiglumis","<em>Digitaria aequiglumis</em>",NA,NA,6332,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Hainardia cylindrica","5000","Hainardia cylindrica","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:54,6333,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15741,3032,"Hainardia",6333,"cylindrica",NA,"(Willd.) Greuter",6333,"5000","Hainardia cylindrica","<em>Hainardia cylindrica</em>","Common Barbgrass",NA,6333,"Common Barbgrass",TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Hainardia cylindrica","5000","Hainardia cylindrica","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2006-01-30 06:20:42,1995-12-15 02:30:54,11517,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15741,3032,"Hainardia",6333,"cylindrica",NA,"(Willd.) Greuter",11517,"8421","Monerma cylindrica","<em>Monerma cylindrica</em>",NA,NA,6333,"Common Barbgrass",FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Cotoneaster glaucophyllus","5612","Cotoneaster glaucophyllus","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2022-07-19 07:22:46.09,1995-12-15 02:30:55,6334,"Species",139,"Plantae",38,"Flora",137,"Flora",398,"Malaceae",12653,2576,"Cotoneaster",6334,"glaucophyllus",NA,"Franch.",6334,"5612","Cotoneaster glaucophyllus","<em>Cotoneaster glaucophyllus</em>",NA,NA,6334,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed","High Threat Weed - not manageable",NA,FALSE,FALSE,FALSE
