row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
97728,surv5,Myoporum bateae,8218,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",c.10-30}","{""Cell color index 12""}",NA,NA,30,NA
97729,surv5,Myoporum insulare,3954,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
97730,surv5,Myosotis australis,1765,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97731,surv5,Myriocephalus rhizocephalus,1576,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97732,surv5,Myriophyllum pedunculatum,3264,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97733,surv5,Myrsine variabilis,11953,NSWFFRDv2.1,NA,"{""Life span"",indefinite}",NA,NA,NA,NA,NA
97734,surv5,Nassella neesiana,9607,NSWFFRDv2.1,"{""Keith 1996""}","{""Life span"",>20}","{""Cell color index 12""}",NA,NA,NA,20
97735,surv5,Neopaxia australasica,8731,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97736,surv5,Nertera granadensis,5695,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97737,surv5,Nicotiana goodspeedii,6046,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97738,surv5,Notelaea longifolia f. longifolia,6423,NSWFFRDv2.1,"{""Clarke 1989"",""EcoGIS 2002""}","{""Life span"","">30 (96), present at 22 yo site (105)""}",NA,NA,NA,NA,30
97739,surv5,Notelaea longifolia f. longifolia,6423,NSWFFRDv2.1,"{""Clarke 1989"",""EcoGIS 2002""}","{""Life span"","">30 (96), present at 22 yo site (105)""}",NA,NA,NA,NA,30
97740,surv5,Olearia algida,1578,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
97741,surv5,Olearia argophylla,1580,NSWFFRDv2.1,"{""Mueck Ough Banks 1996""}","{""Life span"",""50-300 (15)""}",NA,NA,NA,300,50
97742,surv5,Olearia argophylla,1580,NSWFFRDv2.1,"{""Groves ""}","{""Life span"",""c. 100 (101)""}",NA,NA,NA,NA,NA
97743,surv5,Olearia axillaris,1582,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
97744,surv5,Olearia cordata,1587,NSWFFRDv2.1,NA,"{""Life span"",15-20?}",{uncertain},NA,NA,20,15
97745,surv5,Olearia erubescens,1591,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
97746,surv5,Olearia flocktoniae,1592,NSWFFRDv2.1,"{""Rice Westoby 1981""}","{""Life span"",2-3}","{""Cell color index 12""}",NA,NA,3,2
97747,surv5,Olearia gravis,1595,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""Life span"",short}","{""Cell color index 12""}",NA,NA,NA,NA
97748,surv5,Olearia ramulosa,1611,NSWFFRDv2.1,"{""Molnar Fletcher Parsons 1989""}","{""Life span"",short}","{""Cell color index 12""}",NA,NA,NA,NA
