row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
96801,surv5,Abutilon oxycarpum,3632,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",4-10}","{""Cell color index 12""}",NA,NA,10,4
96802,surv5,Acacia baileyana,3710,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20
96803,surv5,Acacia binervata,3716,NSWFFRDv2.1,NA,"{""Life span"",20}","{""Cell color index 12""}",NA,20,NA,NA
96804,surv5,Acacia binervia,3717,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50-100}","{""Cell color index 12""}",NA,NA,100,50
96805,surv5,Acacia bulgaensis,8601,NSWFFRDv2.1,NA,"{""Life span"",""c. 20-40""}",NA,NA,NA,40,NA
96806,surv5,Acacia constablei,3747,NSWFFRDv2.1,"{""RP Threatened Flora of Rocky Outcrops in South Eas""}","{""Life span"",short?}","{""Cell color index 12"",uncertain}",NA,NA,NA,NA
96807,surv5,Acacia dealbata,3758,NSWFFRDv2.1,"{""Watts Greg. pers. comm.""}","{""Life span"",20}","{""Cell color index 12""}",NA,20,NA,NA
96808,surv5,Acacia decurrens,3762,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",15-30}","{""Cell color index 12""}",NA,NA,30,15
96809,surv5,Acacia elata,3768,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
96810,surv5,Acacia falcata,3771,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",5-20}","{""Cell color index 12""}",NA,NA,20,5
96811,surv5,Acacia floribunda,3777,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
96812,surv5,Acacia fulva,3780,NSWFFRDv2.1,"{""Maryott-Brown Wilks 1993""}","{""Life span"",""c. 20-30""}","{""Cell color index 12""}",NA,NA,30,NA
96813,surv5,Acacia georgensis,3782,NSWFFRDv2.1,"{""RP Threatened Flora of Rocky Outcrops in South Eas""}","{""Life span"",long}","{""Cell color index 12""}",NA,NA,NA,NA
96814,surv5,Acacia hispidula,3790,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",<10}","{""Cell color index 12""}",NA,NA,10,NA
96815,surv5,Acacia implexa,3792,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",<50?}","{""Cell color index 12"",uncertain}",NA,NA,50,NA
96816,surv5,Acacia irrorata subsp. irrorata,6472,NSWFFRDv2.1,"{""Watts Greg. pers. comm.""}","{""Life span"",20}","{""Cell color index 12""}",NA,20,NA,NA
96817,surv5,Acacia kulnurensis,9983,NSWFFRDv2.1,NA,"{""Life span"",""c. 15-25""}",NA,NA,NA,25,NA
96818,surv5,Acacia latisepala,3807,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""Life span"",>10}","{""Cell color index 12""}",NA,NA,NA,10
96819,surv5,Acacia linifolia,3814,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",c.10-15}","{""Cell color index 12""}",NA,NA,15,NA
96820,surv5,Acacia longifolia subsp. longifolia,10790,NSWFFRDv2.1,"{""Keith David pers. comm."",""Watts Greg. pers. comm.""}","{""Life span"",20-60}","{""Cell color index 12""}",NA,NA,60,20
96821,surv5,Acacia longifolia subsp. longifolia,10790,NSWFFRDv2.1,"{""Keith David pers. comm."",""Watts Greg. pers. comm.""}","{""Life span"",20-60}","{""Cell color index 12""}",NA,NA,60,20
96822,surv5,Acacia longifolia subsp. sophorae,10791,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
96823,surv5,Acacia maidenii,3821,NSWFFRDv2.1,"{""Watts Greg. pers. comm.""}","{""Life span"",""c. 20""}","{""Cell color index 12""}",NA,NA,NA,NA
96824,surv5,Acacia mearnsii,3823,NSWFFRDv2.1,"{""Melick 1990""}","{""Life span"",""20 (84)""}",NA,NA,20,NA,NA
96825,surv5,Acacia mearnsii,3823,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""short (1)""}",NA,NA,NA,NA,NA
96826,surv5,Acacia melanoxylon,3824,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""50 (1)""}","{""Cell color index 8""}",NA,50,NA,NA
96827,surv5,Acacia melanoxylon,3824,NSWFFRDv2.1,"{""Chesterfield Taylor Molnar 1990""}","{""Life span"",""90 (CT)""}","{""Cell color index 8""}",NA,90,NA,NA
96828,surv5,Acacia melanoxylon,3824,NSWFFRDv2.1,"{""McMahon 1987""}","{""Life span"",""50-100 (M)""}","{""Cell color index 8""}",NA,NA,100,50
96829,surv5,Acacia myrtifolia,3834,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""5-25 (1)""}",NA,NA,NA,25,5
96830,surv5,Acacia myrtifolia,3834,NSWFFRDv2.1,"{""Groves ""}","{""Life span"",""c. 30 (101)""}",NA,NA,NA,NA,NA
96831,surv5,Acacia oxycedrus,3844,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20
96832,surv5,Acacia oxycedrus,3844,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20
96833,surv5,Acacia parramattensis,3846,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""stems live up to 25y, root-suckering may extend lifespan of individual""}","{""Cell color index 12""}",NA,NA,NA,NA
96834,surv5,Acacia prominens,3857,NSWFFRDv2.1,"{""Maryott-Brown Wilks 1993""}","{""Life span"",""c. 25-35""}","{""Cell color index 12""}",NA,NA,35,NA
96835,surv5,Acacia pubescens,3860,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""50 (1)""}","{""Cell color index 12""}",NA,50,NA,NA
96836,surv5,Acacia pubescens,3860,NSWFFRDv2.1,"{""Maryott-Brown Wilks 1993""}","{""Life span"",""c. 25-35 (71)""}","{""Cell color index 12""}",NA,NA,35,NA
96837,surv5,Acacia pubescens,3860,NSWFFRDv2.1,"{""RP Acacia pubescens""}","{""Life span"","">50 (R21)""}","{""Cell color index 12""}",NA,NA,NA,50
96838,surv5,Acacia rubida,3869,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
96839,surv5,Acacia saligna,3873,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
96840,surv5,Acacia suaveolens,3881,NSWFFRDv2.1,"{""Auld 1987""}","{""Life span"",""populations reduced after 10 y, max ls 20-25 y (28)""}",NA,NA,NA,NA,NA
96841,surv5,Acacia suaveolens,3881,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",""5-25 (9)""}",NA,NA,NA,25,5
96842,surv5,Acacia suaveolens,3881,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""5-10, maximum 15-25 (1c)""}",NA,NA,NA,NA,5
96843,surv5,Acacia suaveolens,3881,NSWFFRDv2.1,"{""Clemens Franklin 1980""}","{""Life span"",""absent or rare in 10 yo site (46)""}",NA,NA,NA,NA,NA
96844,surv5,Acacia suaveolens,3881,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""plants uncommon (<5% cover) but still flowering at sites 15, 22, 25 years since fire (105)""}",NA,NA,NA,NA,NA
96845,surv5,Acacia terminalis,3885,NSWFFRDv2.1,"{""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""5-25 (9), plants still present and flowering at sites 22, 25 years post-fire (105)""}",NA,NA,NA,25,5
96846,surv5,Acacia terminalis,3885,NSWFFRDv2.1,"{""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""5-25 (9), plants still present and flowering at sites 22, 25 years post-fire (105)""}",NA,NA,NA,25,5
96847,surv5,Acacia terminalis s. lat. (winged form),n/a,NSWFFRDv2.1,NA,"{""Life span"",""c. 15-25""}",NA,NA,NA,25,NA
96848,surv5,Acacia ulicifolia,3893,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""EcoGIS 2002""}","{""Life span"",""25 (1), plants still present and flowering at sites 25 years post-fire (105)""}",NA,NA,25,NA,NA
96849,surv5,Acacia ulicifolia,3893,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""EcoGIS 2002""}","{""Life span"",""25 (1), plants still present and flowering at sites 25 years post-fire (105)""}",NA,NA,25,NA,NA
96850,surv5,Alchornea ilicifolia,8669,NSWFFRDv2.1,NA,"{""Life span"",>30}",NA,NA,NA,NA,30
96851,surv5,Acacia verticillata subsp. verticillata,11245,NSWFFRDv2.1,"{""Ashton Chappill 1989""}","{""Life span"",28}","{""Cell color index 12""}",NA,28,NA,NA
96852,surv5,Acaena echinata,5603,NSWFFRDv2.1,"{""Morgan 1999""}","{""Life span"",long}","{""Cell color index 12""}",NA,NA,NA,NA
96853,surv5,Acaena novae-zelandiae,5604,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
96854,surv5,Acaena ovina,5605,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
96855,surv5,Aciphylla glacialis,1090,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",15?}","{""Cell color index 12"",uncertain}",NA,15,NA,NA
96856,surv5,Acmena smithii,3968,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Chesterfield Taylor Molnar 1990""}","{""Life span"",100-200}","{""Cell color index 12""}",NA,NA,200,100
96857,surv5,Acmena smithii,3968,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Chesterfield Taylor Molnar 1990""}","{""Life span"",100-200}","{""Cell color index 12""}",NA,NA,200,100
96858,surv5,Acrophyllum australe,2265,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",medium}","{""Cell color index 12""}",NA,NA,NA,NA
96859,surv5,Acrothamnus montanus,12059,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
96860,surv5,Acrotriche divaricata,2581,NSWFFRDv2.1,NA,"{""Life span"",20-100?}",{uncertain},NA,NA,100,20
96861,surv5,Acrotriche serrulata,2583,NSWFFRDv2.1,"{""Russell Parsons 1978"",""EcoGIS 2002""}","{""Life span"",""<15? (37), common and flowering at sites 22 yo site (105)""}",{uncertain},NA,NA,15,NA
96862,surv5,Acrotriche serrulata,2583,NSWFFRDv2.1,"{""Russell Parsons 1978"",""EcoGIS 2002""}","{""Life span"",""<15? (37), common and flowering at sites 22 yo site (105)""}",{uncertain},NA,NA,15,NA
96863,surv5,Actephila lindleyi,2675,NSWFFRDv2.1,NA,"{""Life span"",>50}",NA,NA,NA,NA,50
96864,surv5,Actinobole uliginosum,1253,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96865,surv5,Actinotus forsythii,1092,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96866,surv5,Actinotus gibbonsii,1093,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96867,surv5,Actinotus helianthi,1094,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""generally 4-5 some plants up to 15 (1)""}",NA,NA,NA,NA,NA
96868,surv5,Actinotus helianthi,1094,NSWFFRDv2.1,"{""Clemens Franklin 1980"",""Keith David pers. comm.""}","{""Life span"",""absent or rare in 10 yo heath (46), 5-10 (9)""}",NA,NA,NA,NA,NA
96869,surv5,Actinotus helianthi,1094,NSWFFRDv2.1,"{""Clemens Franklin 1980"",""Keith David pers. comm.""}","{""Life span"",""absent or rare in 10 yo heath (46), 5-10 (9)""}",NA,NA,NA,NA,NA
96870,surv5,Actinotus minor,1095,NSWFFRDv2.1,"{""Keith David pers. comm."",""Clemens Franklin 1980"",""EcoGIS 2002""}","{""Life span"",""25-60 (9), absent or rare in 10 yo heath (46), common at 15 and 22 yo sites (105)""}",NA,NA,NA,60,25
96871,surv5,Actinotus minor,1095,NSWFFRDv2.1,"{""Keith David pers. comm."",""Clemens Franklin 1980"",""EcoGIS 2002""}","{""Life span"",""25-60 (9), absent or rare in 10 yo heath (46), common at 15 and 22 yo sites (105)""}",NA,NA,NA,60,25
96872,surv5,Actinotus minor,1095,NSWFFRDv2.1,"{""Keith David pers. comm."",""Clemens Franklin 1980"",""EcoGIS 2002""}","{""Life span"",""25-60 (9), absent or rare in 10 yo heath (46), common at 15 and 22 yo sites (105)""}",NA,NA,NA,60,25
96873,surv5,Adiantum aethiopicum,7997,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
96874,surv5,Adiantum diaphanum,7998,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
96875,surv5,Adiantum hispidulum,8000,NSWFFRDv2.1,NA,"{""Life span"",indefinite}",NA,NA,NA,NA,NA
96876,surv5,Aegiceras corniculatum,7459,NSWFFRDv2.1,NA,"{""Life span"",long}",NA,NA,NA,NA,NA
96877,surv5,Agrostis parviflora,4726,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96878,surv5,Agrostis venusta,4729,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96879,surv5,Aira cupaniana,4731,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96880,surv5,Ajuga australis,3371,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",""10? (58)""}",{uncertain},NA,10,NA,NA
96881,surv5,Ajuga australis,3371,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""c. 2-3 (1)""}",NA,NA,NA,3,NA
96882,surv5,Cerastium glomeratum,1960,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96883,surv5,Alectryon subcinereus,5875,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",>30}","{""Cell color index 12""}",NA,NA,NA,30
96884,surv5,Allocasuarina distyla,2010,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""25-40 (1), 40-60 (9), still present and with fruit at 22 and 25 yo sites (105)""}",NA,NA,NA,40,25
96885,surv5,Allocasuarina distyla,2010,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""25-40 (1), 40-60 (9), still present and with fruit at 22 and 25 yo sites (105)""}",NA,NA,NA,40,25
96886,surv5,Allocasuarina distyla,2010,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""25-40 (1), 40-60 (9), still present and with fruit at 22 and 25 yo sites (105)""}",NA,NA,NA,40,25
96887,surv5,Allocasuarina glareicola,8320,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
96888,surv5,Allocasuarina littoralis,2012,NSWFFRDv2.1,"{""Lunt 1998"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""c. 70 (17) , 40-60 (9), present at 20-25 yo sites (105)""}",NA,NA,NA,NA,NA
96889,surv5,Allocasuarina littoralis,2012,NSWFFRDv2.1,"{""Lunt 1998"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""c. 70 (17) , 40-60 (9), present at 20-25 yo sites (105)""}",NA,NA,NA,NA,NA
96890,surv5,Allocasuarina littoralis,2012,NSWFFRDv2.1,"{""Lunt 1998"",""Keith David pers. comm."",""EcoGIS 2002""}","{""Life span"",""c. 70 (17) , 40-60 (9), present at 20-25 yo sites (105)""}",NA,NA,NA,NA,NA
96891,surv5,Allocasuarina luehmannii,2013,NSWFFRDv2.1,"{""RP RFA Victoria - North East""}","{""Life span"",>50}","{""Cell color index 12""}",NA,NA,NA,50
96892,surv5,Allocasuarina nana,2014,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50-100?}","{""Cell color index 12"",uncertain}",NA,NA,100,50
96893,surv5,Allocasuarina paludosa,2015,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",60-100}","{""Cell color index 12""}",NA,NA,100,60
96894,surv5,Allocasuarina paludosa,2015,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",60-100}","{""Cell color index 12""}",NA,NA,100,60
96895,surv5,Allocasuarina torulosa,2017,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50-100?}","{""Cell color index 12"",uncertain}",NA,NA,100,50
96896,surv5,Allocasuarina verticillata,2018,NSWFFRDv2.1,"{""Lunt 1998""}","{""Life span"",>90}","{""Cell color index 12""}",NA,NA,NA,90
96897,surv5,Almaleea incurvata,8365,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
96898,surv5,Almaleea paludosa,8364,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",5-25}","{""Cell color index 12""}",NA,NA,25,5
96899,surv5,Almaleea paludosa,8364,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",5-25}","{""Cell color index 12""}",NA,NA,25,5
96900,surv5,Alyssum linifolium,1775,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96901,surv5,Alyxia buxifolia,1165,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
96902,surv5,Ambrosia artemisiifolia,1259,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96903,surv5,Amperea xiphoclada var. xiphoclada,9713,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""EcoGIS 2002""}","{""Life span"",""indefinite (1), present and flowering at 20-25 yo sites (105)""}",NA,NA,NA,NA,NA
96904,surv5,Amperea xiphoclada var. xiphoclada,9713,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""EcoGIS 2002""}","{""Life span"",""indefinite (1), present and flowering at 20-25 yo sites (105)""}",NA,NA,NA,NA,NA
96905,surv5,Amphipogon caricinus var. caricinus,7539,NSWFFRDv2.1,"{""Specht Rayson Jackman 1958""}","{""Life span"",>25}","{""Cell color index 12""}",NA,NA,NA,25
96906,surv5,Angianthus tomentosus,1268,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96907,surv5,Angophora bakeri,3969,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",>100}","{""Cell color index 12""}",NA,NA,NA,100
96908,surv5,Angophora costata,3970,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",>100}","{""Cell color index 12""}",NA,NA,NA,100
96909,surv5,Angophora crassifolia,9012,NSWFFRDv2.1,NA,"{""Life span"",>100}",NA,NA,NA,NA,100
96910,surv5,Angophora euryphylla,9717,NSWFFRDv2.1,NA,"{""Life span"",>100}",NA,NA,NA,NA,100
96911,surv5,Angophora floribunda,3971,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",>100}","{""Cell color index 12""}",NA,NA,NA,100
96912,surv5,Angophora hispida,3972,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",""50-100 (1)""}",NA,NA,NA,100,50
96913,surv5,Angophora hispida,3972,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",""100-200 (9)""}",NA,NA,NA,200,100
96914,surv5,Angophora inopina,9619,NSWFFRDv2.1,NA,"{""Life span"",>200}",NA,NA,NA,NA,200
96915,surv5,Angophora subvelutina,3974,NSWFFRDv2.1,NA,"{""Life span"",>200}",NA,NA,NA,NA,200
96916,surv5,Anisopogon avenaceus,4749,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
96917,surv5,Anthemis arvensis,1269,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96918,surv5,Aotus ericoides,2770,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
96919,surv5,Aotus ericoides,2770,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
96920,surv5,Apalochlamys spectabilis,8221,NSWFFRDv2.1,NA,"{""Life span"",biennual}",NA,NA,NA,NA,NA
96921,surv5,Aphanes australiana,5609,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96922,surv5,Aphelia gracilis,2037,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96923,surv5,Apium prostratum var. prostratum,11824,NSWFFRDv2.1,NA,"{""Life span"",biennial}",NA,NA,NA,NA,NA
96924,surv5,Arctotheca calendula,1273,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96925,surv5,Argentipallium obtusifolium,9721,NSWFFRDv2.1,"{""Specht Rayson Jackman 1958""}","{""Life span"",3-4}","{""Cell color index 12""}",NA,NA,4,3
96926,surv5,Argyrotegium fordianum,12689,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
96927,surv5,Aristida holathera var. holathera,7537,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96928,surv5,Aristida vagans,4773,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""present at 20 yo site""}","{""Cell color index 12""}",NA,NA,NA,NA
96929,surv5,Aristida warburgii,4774,NSWFFRDv2.1,NA,"{""Life span"",5-25}",NA,NA,NA,25,5
96930,surv5,Artanema fimbriatum,5943,NSWFFRDv2.1,NA,"{""Life span"",short}",NA,NA,NA,NA,NA
96931,surv5,Asperula gunnii,5657,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
96932,surv5,Asperula scoparia,5659,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
96933,surv5,Asphodelus fistulosus,3524,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96934,surv5,Asplenium australasicum,8031,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",long}","{""Cell color index 12""}",NA,NA,NA,NA
96935,surv5,Asplenium bulbiferum subsp. gracillimum,8866,NSWFFRDv2.1,NA,"{""Life span"",indefinite}",NA,NA,NA,NA,NA
96936,surv5,Asplenium trichomanes,9259,NSWFFRDv2.1,NA,"{""Life span"",15-40?}",{uncertain},NA,NA,40,15
96937,surv5,Asterolasia trymalioides,5730,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",""50? (58)""}",{uncertain},NA,50,NA,NA
96938,surv5,Asterolasia trymalioides,5730,NSWFFRDv2.1,"{""Williams Ashton 1988""}","{""Life span"","">40 (80)""}",NA,NA,NA,NA,40
96939,surv5,Astrotricha crassifolia,1200,NSWFFRDv2.1,NA,"{""Life span"",indefinite?}",{uncertain},NA,NA,NA,NA
96940,surv5,Astrotricha latifolia,1202,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",<10?}","{""Cell color index 12"",uncertain}",NA,NA,10,NA
96941,surv5,Astrotricha longifolia,1205,NSWFFRDv2.1,NA,"{""Life span"",indefinite}",NA,NA,NA,NA,NA
96942,surv5,Atkinsonia ligustrina,3611,NSWFFRDv2.1,NA,"{""Life span"",20?}",{uncertain},NA,20,NA,NA
96943,surv5,Atriplex elachophylla,2050,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96944,surv5,Brachyscome perpusilla var. tenella,10409,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96945,surv5,Atriplex vesicaria,2078,NSWFFRDv2.1,"{""Cunningham Mulham Milthorpe Leigh 1992""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20
96946,surv5,Australopyrum velutinum,7840,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",5?}","{""Cell color index 12"",uncertain}",NA,5,NA,NA
96947,surv5,Austrocynoglossum latifolium,8667,NSWFFRDv2.1,NA,"{""Life span"",<5}",NA,NA,NA,5,NA
96948,surv5,Austrofestuca littoralis,6594,NSWFFRDv2.1,NA,"{""Life span"",<5}",NA,NA,NA,5,NA
96949,surv5,Austromyrtus dulcis,3979,NSWFFRDv2.1,"{""Clarke 1989""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
96950,surv5,Austromyrtus tenuifolia,3982,NSWFFRDv2.1,NA,"{""Life span"",25-50?}",{uncertain},NA,NA,50,25
96951,surv5,Austrostipa nivicola,9960,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
96952,surv5,Austrostipa rudis subsp. nervosa,10398,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""common at 20 yo site""}","{""Cell color index 12""}",NA,NA,NA,NA
96953,surv5,Austrostipa semibarbata,10394,NSWFFRDv2.1,"{""Specht Rayson Jackman 1958""}","{""Life span"",>25}","{""Cell color index 12""}",NA,NA,NA,25
96954,surv5,Avena fatua,4780,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
96955,surv5,Avicennia marina subsp. australasica,10427,NSWFFRDv2.1,NA,"{""Life span"",100}",NA,NA,100,NA,NA
