"row_number","trait_code","species","species_code","main_source","original_sources","raw_value","original_notes","norm_value","best","upper","lower","sources"
20783,"surv1","Blandfordia nobilis","3529","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20804,"surv1","Blechnum nudum","8058","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20898,"surv1","Boronia falcifolia","5739","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20899,"surv1","Boronia falcifolia","5739","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20905,"surv1","Boronia granitica","5743","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}","{""no resprouts from 30 burnt individuals (69); lignotuber or other structure absent (R44)""}","None",NA,NA,NA,"Clarke Fulloon 1999"
20966,"surv1","Boronia parviflora","5749","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Keith 1991"
21008,"surv1","Boronia safrolifera","5758","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
21009,"surv1","Boronia safrolifera","5758","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
21033,"surv1","Boronia sp. aff. microphylla","n/a","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
21065,"surv1","Bossiaea ensata","2778","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Mostly killed, some resprouting (105)""}","All",NA,NA,NA,"Benwell 1998"
21079,"surv1","Bossiaea heterophylla","2780","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (6, 39), Mortality 82-89% (57); Post-fire abundance decrease (57)""}","All",NA,NA,NA,"Benwell 1998"
21248,"surv1","Brachyloma daphnoides subsp. daphnoides","10689","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (P)""}","All",NA,NA,NA,"Benwell 1998"
21280,"surv1","Brachyloma daphnoides subsp. daphnoides","10689","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (P)""}","All",NA,NA,NA,"Clarke Fulloon 1999"
21286,"surv1","Brachyloma saxicola","9295","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{Fireresponse,Sr,""Overall value of fireresponse column is Sr""}",NA,"Few",NA,NA,NA,"Clarke Fulloon 1999"
22579,"surv1","Brunoniella pumilio","1004","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 27-38% (57)""}","All",NA,NA,NA,"Keith 1991"
22649,"surv1","Burchardia umbellata","3533","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67)""}","All",NA,NA,NA,"Keith 1991"
22652,"surv1","Burchardia umbellata","3533","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67)""}","All",NA,NA,NA,"Benwell 1998"
22730,"surv1","Caesia parviflora","3535","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
22732,"surv1","Caesia parviflora","3535","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
22795,"surv1","Caladenia carnea","4373","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Post-fire abundance decrease (P)""}","All",NA,NA,NA,"Benwell 1998"
22892,"surv1","Caleana major","4389","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
22894,"surv1","Caleana major","4389","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
22928,"surv1","Callistemon citrinus","4004","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
22949,"surv1","Callistemon pachyphyllus","4010","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
22980,"surv1","Callistemon pungens","9126","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
23014,"surv1","Callistemon sp. aff. flavovirens","14189","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group V"",""Survives 100% scorch; resprouts from basal stem buds (eg lignotuber)"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
23145,"surv1","Calochlaena dubia","8341","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
23201,"surv1","Calytrix tetragona","4021","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Benwell 1998"
23225,"surv1","Calytrix tetragona","4021","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Benwell 1998"
23230,"surv1","Calytrix tetragona","4021","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
23600,"surv1","Caustis recurvata var. recurvata","9315","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39), killed by fire (126)""}","None",NA,NA,NA,"Benwell 1998"
23849,"surv1","Chordifex fastigiatus","13528","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
23881,"surv1","Chorizandra cymbaria","2344","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
23884,"surv1","Chorizandra sphaerocephala","2345","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
23906,"surv1","Chorizema parviflorum","2797","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (R in heath, S in forest) (BW)""}","All",NA,NA,NA,"Benwell 1998"
23907,"surv1","Chorizema parviflorum","2797","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (R in heath, S in forest) (BW)""}","All",NA,NA,NA,"Benwell 1998"
24096,"surv1","Coleocarya gracilis","5531","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (BW)""}","None",NA,NA,NA,"Benwell 1998"
24097,"surv1","Coleocarya gracilis","5531","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (BW)""}","All",NA,NA,NA,"Benwell 1998"
24120,"surv1","Comesperma defoliatum","5252","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
24121,"surv1","Comesperma defoliatum","5252","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
24125,"surv1","Comesperma defoliatum","5252","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
24140,"surv1","Comesperma retusum","5255","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Seeder in subalpine treeless plain (120)""}","All",NA,NA,NA,"Keith 1991"
24143,"surv1","Comesperma retusum","5255","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Seeder in subalpine treeless plain (120)""}","All",NA,NA,NA,"Benwell 1998"
25370,"surv1","Conospermum taxifolium","5352","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Benwell 1998"
25372,"surv1","Conospermum taxifolium","5352","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Keith 1991"
25377,"surv1","Conospermum taxifolium","5352","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Benwell 1998"
25453,"surv1","Coprosma hirtella","5670","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is R""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
25617,"surv1","Correa reflexa","5772","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Vegetative response at 69% of sites (78)""}","None",NA,NA,NA,"Clarke Fulloon 1999"
25630,"surv1","Corybas fordhamii","4408","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
25631,"surv1","Corybas fordhamii","4408","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
25641,"surv1","Corymbia gummifera","9687","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
25739,"surv1","Crassocephalum crepidioides","1421","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
25868,"surv1","Cryptandra lanosiflora","5557","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
25915,"surv1","Cryptostylis subulata","4417","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
26042,"surv1","Cyathochaeta diandra","2347","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 0-32% (57)""}","All",NA,NA,NA,"Keith 1991"
26151,"surv1","Dampiera stricta","3174","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
26172,"surv1","Dampiera stricta","3174","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
26245,"surv1","Darwinia grandiflora","4029","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
26444,"surv1","Daviesia ulicifolia","2827","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""May be killed (1), Variable (39), Mortality 12% when burnt, 51% when burnt and grazed (99); ""}","None",NA,NA,NA,"Clarke Fulloon 1999"
26554,"surv1","Deyeuxia decipiens","4881","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}",NA,"All",NA,NA,NA,"Keith 1991"
26591,"surv1","Deyeuxia quadriseta","4891","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67)""}","All",NA,NA,NA,"Keith 1991"
26882,"surv1","Dillwynia floribunda","2843","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
26961,"surv1","Dillwynia phylicoides","7225","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
26993,"surv1","Dillwynia retorta species complex","12383","NSWFFRDv2.1","{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Variable (39), Mortality 95-100% (57), Mortality 100% when burnt or burnt and grazed; 100% after low or high, autumn or spring burn (99), Mortality >85% (105); Post-fire abundance decrease (57)""}","None",NA,NA,NA,"Benson 1985"
26996,"surv1","Dillwynia retorta species complex","12383","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}","{""Variable (39), Mortality 95-100% (57), Mortality 100% when burnt or burnt and grazed; 100% after low or high, autumn or spring burn (99), Mortality >85% (105); Post-fire abundance decrease (57)""}","None",NA,NA,NA,"Benwell 1998"
28221,"surv1","Dodonaea hirsuta","5897","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
28361,"surv1","Drosera binata","2557","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
28421,"surv1","Drosera peltata","2559","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Keith 1991"
28440,"surv1","Drosera pygmaea","2560","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Keith 1991"
28469,"surv1","Drosera spatulata","2561","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","None",NA,NA,NA,"Benwell 1998"
28471,"surv1","Drosera spatulata","2561","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Keith 1991"
28601,"surv1","Elaeocarpus sedentarius","14538","NSWFFRDv2.1","{""Benwell 1998""}","{Fireresponse,S,""Overall value of fireresponse column is S""}","{""Expected that large individuals could survive fire (bark becomes thick), smaller plants susceptible (R6)""}","None",NA,NA,NA,"Benwell 1998"
28607,"surv1","Eleocharis sphacelata","6988","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
28637,"surv1","Empodisma minus","5532","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Resprouter and seeder in subalpine treeless plain (120); V in subalpine montane swamp (136)""}","All",NA,NA,NA,"Keith 1991"
28721,"surv1","Entolasia stricta","4947","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}","{""Mortality 40-58% (57)""}","All",NA,NA,NA,"Benwell 1998"
28745,"surv1","Entolasia stricta","4947","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 40-58% (57)""}","All",NA,NA,NA,"Keith 1991"
28873,"surv1","Epacris obtusifolia","2602","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Benwell 1998"
28907,"surv1","Epacris paludosa","2603","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Keith 1991"
28914,"surv1","Epacris pulchella","2605","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
29067,"surv1","Eriachne glabrata","4979","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
29100,"surv1","Eriostemon australasius","5776","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Mortality 60% (57)""}","All",NA,NA,NA,"Benwell 1998"
29278,"surv1","Eucalyptus caleyi subsp. ovendenii","9517","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{Fireresponse,R,""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
29540,"surv1","Eucalyptus haemastoma","4104","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
29660,"surv1","Eucalyptus mckieana","4123","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{Fireresponse,R,""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
31073,"surv1","Eucalyptus youmanii","4199","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{Fireresponse,R,""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
31184,"surv1","Eurychorda complanata","10615","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Keith 1991"
31339,"surv1","Fimbristylis dichotoma","7435","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
31422,"surv1","Gahnia sieberiana","2442","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""New leaves from base within 1 month""}","All",NA,NA,NA,"Benwell 1998"
31423,"surv1","Gahnia sieberiana","2442","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""New leaves from base within 1 month""}","All",NA,NA,NA,"Keith 1991"
31632,"surv1","Gleichenia dicarpa","7138","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
31637,"surv1","Gleichenia microphylla","6708","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
31678,"surv1","Glossodia minor","4466","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
31846,"surv1","Gompholobium pinnatum","2868","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Benwell 1998"
31847,"surv1","Gompholobium pinnatum","2868","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Benwell 1998"
31872,"surv1","Gompholobium virgatum","2870","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Benwell 1998"
31891,"surv1","Gonocarpus micranthus","3243","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Benwell 1998"
31955,"surv1","Gonocarpus tetragynus","3247","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Vegetative response at 50% of sites (78)""}","All",NA,NA,NA,"Keith 1991"
31983,"surv1","Gonocarpus tetragynus","3247","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Vegetative response at 50% of sites (78)""}","None",NA,NA,NA,"Clarke Fulloon 1999"
32002,"surv1","Goodenia bellidifolia subsp. bellidifolia","8711","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Survival may depend on fire intensity (1), Variable (39), Mortality 41-64% (57); Post-fire abundance increase (57)""}","All",NA,NA,NA,"Keith 1991"
32003,"surv1","Goodenia bellidifolia subsp. bellidifolia","8711","NSWFFRDv2.1","{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Rs""}","{""Survival may depend on fire intensity (1), Variable (39), Mortality 41-64% (57); Post-fire abundance increase (57)""}","None",NA,NA,NA,"Benson 1985"
32138,"surv1","Goodenia stelligera","3197","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","None",NA,NA,NA,"Benwell 1998"
32284,"surv1","Grevillea beadleana","8293","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Lacks lignotuber, occasional suckering observed in individuals where lower base protected during fire (53), Some large individuals may resprout (69), Very often killed, coppicing does occur but mainly from young plants, Mortality after fire 50% and 42% (R""}","None",NA,NA,NA,"Clarke Fulloon 1999"
32441,"surv1","Grevillea linearifolia","5381","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
32517,"surv1","Grevillea oleoides","5388","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
33744,"surv1","Gymnoschoenus sphaerocephalus","2445","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
33786,"surv1","Haemodorum corymbosum","6435","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
33805,"surv1","Haemodorum corymbosum","6435","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
33911,"surv1","Hakea laevipes subsp. laevipes","10804","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""resprouting form of H. dactyloides""}","All",NA,NA,NA,"Keith 1991"
