"dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentScientificNameCode","currentScientificName","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:33:14.34+11:00","1995-12-15T13:06:44+11:00",2368,"Species",139,"Plantae",38,"Flora",137,"Flora",162,"Menispermaceae",12967,4017,"Sarcopetalum",2368,"harveyanum",NA,"F.Muell.",2368,"3688","Sarcopetalum harveyanum","<em>Sarcopetalum harveyanum</em>","Pearl Vine",NA,2368,"3688","Sarcopetalum harveyanum","Pearl Vine","true",NA,NA,"Alive in NSW, Native","Vine","Other (OG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:22:50.983+11:00","2007-04-17T17:56:11+10:00",2369,"Species",139,"Plantae",38,"Flora",137,"Flora",302,"Ericaceae",9840,2006,"Agiortia",17241,"pedicellata",NA,"(C.T.White) Quinn in Quinn et al.",2369,"2633","Leucopogon pedicillatus","<em>Leucopogon pedicillatus</em>",NA,NA,17241,"12011","Agiortia pedicellata",NA,"false",NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:34:47.017+11:00","1995-12-15T13:06:45+11:00",2370,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13415,2862,"Eucalyptus",2370,"macrorhyncha",NA,"F.Muell. ex Benth.",2370,"4120","Eucalyptus macrorhyncha","<em>Eucalyptus macrorhyncha</em>","Red Stringybark",NA,2370,"4120","Eucalyptus macrorhyncha","Red Stringybark","true",NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2009-05-01T16:05:16+10:00","1999-06-02T17:29:48+10:00",2371,"Subspecies",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10270,1948,"Abrus",2371,"precatorius","precatorius","L.",2371,"7512","Abrus precatorius","<em>Abrus precatorius</em>","Gidee Gidee",NA,13410,"10692","Abrus precatorius subsp. precatorius",NA,"false",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:26:22.207+11:00","2010-05-28T15:54:19+10:00",2387,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",7230,2984,"Glossocardia",19877,"bidens",NA,"(Retz.) Veldkamp",2387,"7213","Glossogyne bidens","<em>Glossogyne bidens</em>",NA,NA,19877,"13989","Glossocardia bidens","Cobbler's Tack","false",NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:36:57.283+11:00","1995-12-15T13:13:49+11:00",2372,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15887,3643,"Paractaenum",3507,"novae-hollandiae",NA,"P.Beauv.",2372,"7892","Paractaenum novae-hollandiae subsp. reversum","<em>Paractaenum novae-hollandiae </em>subsp.<em> reversum</em>",NA,NA,3507,"5069","Paractaenum novae-hollandiae","Reflexed Panic Grass","false",NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:43:26.323+11:00","1995-12-15T13:06:46+11:00",2373,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",6839,2288,"Brachyscome",2373,"ciliaris",NA,"(Labill.) Less.",2373,"7902","Brachyscome ciliaris","<em>Brachyscome ciliaris</em>","Variable Daisy",NA,2373,"7902","Brachyscome ciliaris","Variable Daisy","true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2020-11-03T11:50:19.703+11:00","1995-12-15T13:38:21+11:00",2374,"Species",139,"Plantae",38,"Flora",137,"Flora",404,"Pteridaceae",16884,1988,"Adiantum",7567,"silvaticum",NA,"Tindale",2374,"8002","Adiantum silvaticum var. silvaticum","<em>Adiantum silvaticum </em>var.<em> silvaticum</em>",NA,NA,7567,"8001","Adiantum silvaticum",NA,"false",171,"Ferns and Cycads","Alive in NSW, Native",NA,NA,NA,NA,"Not Listed","true","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:37:49.99+11:00","1995-12-15T13:06:47+11:00",2375,"Species",139,"Plantae",38,"Flora",137,"Flora",167,"Proteaceae",16747,3340,"Lomatia",2375,"myricoides",NA,"(C.F.Gaertn.) Domin",2375,"5444","Lomatia myricoides","<em>Lomatia myricoides</em>","River Lomatia",NA,2375,"5444","Lomatia myricoides","River Lomatia","true",NA,NA,"Alive in NSW, Native","Shrub","Shrub (SG)","Tree","Tree (TG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2006-01-30T17:20:36+11:00","1995-12-15T13:06:47+11:00",2376,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8195,4087,"Sisymbrium",2376,"irio",NA,"L.",2376,"1853","Sisymbrium irio","<em>Sisymbrium irio</em>","London Rocket",NA,2376,"1853","Sisymbrium irio","London Rocket","true",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:30:04.383+11:00","1995-12-15T13:06:48+11:00",2377,"Species",139,"Plantae",38,"Flora",137,"Flora",168,"Dilleniaceae",9698,3096,"Hibbertia",2377,"riparia",NA,"(R.Br. ex DC.) Hoogland",2377,"2545","Hibbertia riparia","<em>Hibbertia riparia</em>",NA,NA,2377,"2545","Hibbertia riparia",NA,"true",NA,NA,"Alive in NSW, Native","Shrub","Shrub (SG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:37:29.13+11:00","1995-12-15T13:06:49+11:00",2378,"Species",139,"Plantae",38,"Flora",137,"Flora",167,"Proteaceae",16532,3008,"Grevillea",2378,"albiflora",NA,"C.T.White",2378,"5356","Grevillea albiflora","<em>Grevillea albiflora</em>","White Spider Flower",NA,2378,"5356","Grevillea albiflora","White Spider Flower","true",NA,NA,"Alive in NSW, Native","Shrub","Shrub (SG)","Tree","Tree (TG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
