trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Boronia parviflora,5749,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Boronia safrolifera,5758,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Boronia safrolifera,5758,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Boronia serrulata,5759,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Boronia sp. aff. microphylla,n/a,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Bossiaea ensata,2778,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Mostly killed, some resprouting (105)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Bossiaea heterophylla,2780,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (6, 39), Mortality 82-89% (57); Post-fire abundance decrease (57)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Bossiaea heterophylla,2780,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (6, 39), Mortality 82-89% (57); Post-fire abundance decrease (57)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Brachyloma daphnoides subsp. daphnoides,10689,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (P)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Brachyloma daphnoides subsp. daphnoides,10689,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (P)""}",All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
