species,myrmecochore_status
Acacia ulicifolia (Salisb.) Court,dagger
Acacia sp. 1,dagger
Ficus rubiginosa Desf. ex Vent.,unmarked
Rapanea variabilis Mez.,unmarked
Angophora cordifolia Cav.,unmarked
Angophora costata (Gaertn.) Druce,unmarked
Angophora floribunda (Sm.) Sweet,unmarked
Baeckea brevifolia Sieb. ex DC.,unmarked
Baeckea diosmifolia Rudge,unmarked
Baeckea imbricata (Gaertn.) Druce,unmarked
Callistemon sp. 1,unmarked
Calytrix tetragona Labill.,unmarked
Darwinia fascicularis Rudge,unmarked
Eucalyptus capitellata Sm.,unmarked
Eucalyptus globoidea Blakely,unmarked
Eucalyptus gummifera (Gaertn.) Hochr.,unmarked
Eucalyptus haemostoma Sm.,unmarked
Eucalyptus multicaulis Blakely,unmarked
Eucalyptus pellita F. Muell.,unmarked
Eucalyptus piperita Sm.,unmarked
Eucalyptus punctata DC.,unmarked
Eucalyptus sieberi L. Johnson,unmarked
Eucalyptus umbra R.T. Blake,unmarked
Kunzea ambigua (Sm.) Druce,unmarked
Kunzea capitata Reichb.,unmarked
Leptospermum arachnoides Gaertn.,unmarked
Leptospermum attenuatum Sm.,unmarked
Leptospermum flavescens Sm.,unmarked
Leptospermum juniperinum Sm.,unmarked
Leptospermum lanigerum (Ait.) Sm.,unmarked
Leptospermum parvifolium Sm.,unmarked
Leptospermum squarrosum Sol. ex Gaertn.,unmarked
Syncarpia glomulifera (Sm.) Niedenzu,unmarked
Olax stricta R.Br.,unmarked
Aotus ericoides (Vent.) G. Don,unmarked
Bossiaea heterophylla Vent.,star
Bossiaea scolopendria Sm.,star
Dillwynia floribunda Sm.,star
Dillwynia retorta (Wendl.) Druce,star
Dillwynia rudis Sieb. ex DC.,star
Glycine clandestina Wendl.,unmarked
Gompholobium glabratum Sieb. ex DC.,star
Gompholobium grandiflorum Sm.,star
Gompholobium latifolium Sm.,star
Gompholobium virgatum Sieb. ex DC.,star
Hardenbergia violacea (Schneev.) Stearn,star
Hovea linearis R.Br.,star
Kennedia rubincuda Vent.,star
Mirbelia rubiifolia (Andr.) G. Don,star
Phyllota grandiflora Benth.,dagger
Phyllota phylicoides (Sieb. ex DC.) Benth.,star
Phyllota squarrosa (Sieb. ex. DC.) Benth.,dagger
Platylobium formosum Sm.,star
Pultenea daphnoides Wendl.,star
Pultenea elliptica Sm.,star
Pultenea ferruginea var. deanei (R.T. Baker) Williamson,star
Eustrephus latifolius R.Br.,unmarked
Billardiera scandens Sm.,unmarked
Pittosporum undulatum Vent.,unmarked
Comesperma ericinum DC.,unmarked
Comesperma volubile Labill.,unmarked
Banksia aspleniifolia Salisb.,unmarked
Banksia ericifolia L.,unmarked
Banksia integrifolia L.,unmarked
Banksia marginata Cav.,unmarked
Banksia robur Cav.,unmarked
Banksia serrata L.f.,unmarked
Banksia spinulosa Sm.,unmarked
Conospermum ericifolium Sm.,unmarked
