"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Notelaea linearis","4317","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Banksia marginata","5344","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Conospermum taxifolium","5352","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Grevillea triternata","5405","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hakea eriantha","5412","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Hakea microcarpa","5420","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Isopogon petiolaris","5438","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Lomatia fraseri","5442","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Lomatia silaifolia","5445","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Persoonia cornifolia","5455","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Persoonia fastigiata","5457","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Persoonia tenuifolia","5475","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Petrophile canescens","5477","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Cryptandra amara","5554","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Cryptandra lanosiflora","5557","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Discaria pubescens","5564","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Pomaderris eriocephala","5578","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts*","Inferred from morphology or sister taxa"
"Rubus parvifolius","5642","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Boronia algida","5732","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Boronia anethifolia","5734","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Boronia bipinnata","5736","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Boronia granitica","5743","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Boronia ledifolia","5744","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Boronia microphylla","5745","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Boronia polygalifolia","5751","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
